FailedAttempts,Longitude,TransactionType,IPAddress,AvgTransactionAmount,UnusualAmount,Day,BankName,PhoneNumber,Month,UnusualLocation,UserID,Amount,TransactionFrequency,NewDevice,MerchantCategory,TransactionID,DeviceID,Weekday,Latitude,Hour,FraudFlag
0.5,0.3874257760438745,0,8789,0.0668932584606828,1,0.7000000000000001,1,2798604680,0.0,0,6867,0.8589445549229162,2,0,1,842835309389,2528,0.0,0.629790528901188,0.1304347826086956,1
0.5,0.215255761501922,0,2995,0.7266284701452974,1,0.0,3,3614149152,1.0,0,527,0.9091140071141912,1,0,1,592863054785,8933,0.0,0.1501708982095821,0.5652173913043478,0
0.75,0.4473143377918069,1,8074,0.8751597912261362,0,0.0333333333333333,3,912661191911,0.5,1,9678,0.8814924996899045,1,1,1,373481869464,5327,0.1666666666666666,0.4271470926549527,0.217391304347826,0
1.0,0.727168251820008,1,5726,0.8348743975945794,1,0.4333333333333334,5,916358088125,0.8333333333333334,1,2760,0.3970272844035963,0,0,4,285572156436,6393,0.6666666666666666,0.3672112131719622,0.6956521739130435,0
0.0,0.5352309743574898,0,2641,0.1718633407419114,1,0.5000000000000001,3,5132838721,1.0,1,4823,0.4375887773434217,0,0,3,874207772966,5403,0.1666666666666666,0.5632723468809389,0.1304347826086956,0
0.5,0.2496001022088423,1,2553,0.3548615542810045,1,0.2,3,5514309159,0.3333333333333333,0,7397,0.8426155255818792,0,1,1,213969747071,866,0.4999999999999999,0.3247583213861011,0.6086956521739131,0
0.0,0.0697013884715109,0,1914,0.7012579245445325,1,0.2333333333333333,5,7715876422,0.6666666666666667,1,7268,0.9315729244607338,0,1,0,285614658293,5112,0.3333333333333333,0.6962435373809444,0.4782608695652173,0
0.75,0.7292283189333143,1,1342,0.5449145879636946,1,0.3333333333333333,0,913599618877,0.1666666666666666,0,8146,0.1255066560500634,2,1,2,485980480692,4057,1.0,0.4979430672712521,0.5217391304347826,0
0.0,0.1365510607855226,1,6876,0.0101996315049283,1,0.2666666666666667,0,800128996,0.6666666666666667,1,6661,0.9027120353068744,0,0,3,215752317622,9995,0.4999999999999999,0.9935929744718212,0.8260869565217391,1
1.0,0.6917884187508387,0,9838,0.284060287554189,0,0.7666666666666667,3,9931281006,0.1666666666666666,0,9052,0.0334803119360763,0,1,4,546464892910,3635,0.8333333333333333,0.9156529051223062,0.7826086956521738,0
